id,loc_name,agg,type,Key Statistics: Total Households,Main source of household drinking water: metered SIWA drinking water,Main source of household drinking water: communal standpipe,Main source of household drinking water: private water tank,Main source of household drinking water: communal water tank,Main source of household drinking water: well - protected,Main source of household drinking water: well - unprotected,Main source of household drinking water: river or stream,Main source of household drinking water: bottled water,Main source of household drinking water: other source of drinking water,Main source of household washing water: piped - private,Main source of household washing water: piped - shared,Main source of household washing water: communal standpipe,Main source of household washing water: well - protected,Main source of household washing water: well - unprotected,Main source of household washing water: private water tank,Main source of household washing water: communal water tank,Main source of household washing water: sea water,"Main source of household washing water: river, lake or stream water",Main source of household washing water: other source of washing water,Main type of household toilet facility: flush toilets - private,Main type of household toilet facility: flush toilets - shared,Main type of household toilet facility: water sealed toilets - private,Main type of household toilet facility: water sealed toilets - shared,Main type of household toilet facility: pit latrines - private,Main type of household toilet facility: pit latrines - shared,Main type of household toilet facility: other toilets,Main type of household toilet facility: no toilets,Main source of household lighting: Main Grid,Main source of household lighting: Own Generator,Main source of household lighting: solar,Main source of household lighting: gas,Main source of household lighting: kerosene lamp,Main source of household lighting: coleman lamp,Main source of household lighting: Wood or Coconut,Main source of household lighting: other lighting,Main source of household lighting: no lighting,Main source of household cooking energy: Electricity from Main Grid,Main source of household cooking energy: Kerosene,Main source of household cooking energy: Wood or Coconut,Main source of household cooking energy: Charcoal,Main source of household cooking energy: Gas,Main source of household cooking energy: other cooking fuels,Households involvement in growing food: subsistence only,Households involvement in growing food: sale only,Households involvement in growing food: subsistence and sale,Households involvement in growing food: not growing food,Households involvement in growing food: No response,Households involvement in fishing: subsistence only,Households involvement in fishing: sale only,Households involvement in fishing: subsistence and sale,Households involvement in fishing: Households not fishing,Household money received from remittances: None,Household money received from remittances: unknown or not applicable,Household money received from remittances: 1 - 499 S.I. dollars,Household money received from remittances: 500 - 999 S.I. dollars,Household money received from remittances: 1000 - 1499 S.I. dollars,Household money received from remittances: more than 1500 S.I. dollars,Main source of household income in last 12 months: No income,Main source of household income in last 12 months: Wages Salary,Main source of household income in last 12 months: Own business,Main source of household income in last 12 months: Sale fish crop craft,Main source of household income in last 12 months: Land lease,Main source of household income in last 12 months: House rent,Main source of household income in last 12 months: Remittances,Main source of household income in last 12 months: Other source
916,Tikopia,Ward,Total,262,0,255,1,4,0,0,1,0,1,0,1,232,0,0,1,1,0,25,2,2,0,0,0,0,0,84,176,0,0,122,0,132,0,0,8,0,0,0,262,0,0,0,191,0,43,6,22,209,1,43,9,184,11,31,22,10,4,39,19,2,87,0,0,26,89
917,Neo,Ward,Total,301,0,1,22,210,61,5,0,0,2,0,1,1,56,223,7,5,6,1,1,0,0,5,1,0,0,4,291,0,0,10,0,268,0,0,23,0,1,0,300,0,0,0,30,1,254,5,11,85,0,193,23,268,5,14,7,3,4,4,22,5,251,0,3,7,9
1,Choiseul,Province,Proportion,1,0.0004,0.3005,0.2413,0.1783,0.003,0.0004,0.2513,0.0042,0.0206,0.0189,0.0637,0.3928,0.0422,0.0605,0.0548,0.0142,0.0002,0.3438,0.0089,0.0399,0.0138,0.0511,0.011,0.0255,0.0057,0.128,0.725,0.0412,0.011,0.1014,0.004,0.8211,0.0036,0.0004,0.0161,0.0011,0.0017,0.0049,0.9737,0.0023,0.0157,0.0017,0.351,0.0015,0.5609,0.0575,0.0291,0.3714,0.0017,0.4196,0.2073,0.5925,0.0155,0.223,0.0866,0.0444,0.038,0.0187,0.1893,0.0437,0.5185,0.0013,0.0034,0.0437,0.1815
10,Honiara,Province,Proportion,1,0.7539,0.0391,0.0959,0.0149,0.0047,0.0262,0.0469,0.0104,0.0081,0.6128,0.2555,0.0249,0.0058,0.0244,0.0155,0.0021,0,0.0485,0.0104,0.5413,0.0919,0.1329,0.0614,0.1101,0.0342,0.015,0.0133,0.6436,0.0035,0.0225,0.0014,0.3157,0.004,0.0003,0.0067,0.0023,0.0369,0.0291,0.5301,0.0146,0.3653,0.0241,0.3304,0.0079,0.0668,0.5351,0.0598,0.0546,0.0065,0.0209,0.918,0.7995,0.0785,0.0297,0.0257,0.0226,0.044,0.0084,0.7776,0.0872,0.0438,0.006,0.0199,0.0053,0.0518
2,Western,Province,Proportion,1,0.0027,0.3016,0.334,0.1763,0.0033,0.0012,0.1429,0.006,0.0319,0.0759,0.0799,0.3621,0.0801,0.0197,0.1064,0.0073,0.0009,0.2566,0.0112,0.1114,0.0152,0.1221,0.0187,0.0338,0.0091,0.2543,0.4354,0.121,0.0105,0.0835,0.0007,0.7575,0.0014,0.0064,0.0173,0.0017,0.0044,0.0102,0.9439,0.0079,0.032,0.0015,0.3409,0.0053,0.5568,0.0721,0.0249,0.3672,0.0049,0.4586,0.1693,0.6868,0.0187,0.1559,0.0654,0.0385,0.0347,0.0132,0.2712,0.0449,0.5463,0.0006,0.0035,0.0298,0.0905
3,Isabel,Province,Proportion,1,0.0045,0.6444,0.1023,0.1116,0.0084,0.0043,0.1069,0.0017,0.0159,0.0752,0.167,0.4768,0.0074,0.0058,0.0136,0.0041,0.0002,0.2446,0.0052,0.0276,0.0043,0.0723,0.0519,0.2329,0.028,0.5707,0.0122,0.0579,0.0121,0.1692,0.0039,0.7437,0.0031,0.0006,0.0091,0.0004,0.001,0.0078,0.945,0.0257,0.0202,0.0004,0.2996,0.0025,0.6245,0.0397,0.0336,0.2872,0.0017,0.5219,0.1892,0.6766,0.0189,0.2055,0.0595,0.0284,0.0111,0.0179,0.1764,0.0603,0.5639,0.0008,0.0035,0.0338,0.1435
4,Central,Province,Proportion,1,0.0053,0.3945,0.1855,0.1757,0.012,0.0029,0.1833,0.0161,0.0247,0.0589,0.158,0.2449,0.1007,0.2705,0.0157,0.0063,0.0002,0.1344,0.0104,0.0595,0.0073,0.0216,0.0094,0.0016,0.0053,0.272,0.6232,0.0385,0.0067,0.0383,0.0014,0.9125,0,0,0.002,0.0004,0.0024,0.0014,0.9766,0,0.0196,0,0.2416,0.0024,0.7256,0.0175,0.0128,0.2634,0.0018,0.5032,0.2316,0.8402,0.0269,0.083,0.0259,0.0098,0.0143,0.0135,0.1356,0.076,0.5134,0.0002,0.001,0.0179,0.2424
5,Rennell-Bell,Province,Proportion,1,0,0,0.7951,0.1337,0.0073,0.0145,0.0015,0.0262,0.0218,0,0,0,0.0102,0.0407,0.6657,0.0276,0,0.2238,0.032,0.0247,0.0044,0.2238,0.0058,0.577,0.1453,0.0189,0,0.0044,0.0015,0.7485,0,0.2108,0,0,0.0174,0.0174,0,0.0058,0.968,0,0.0262,0,0.7049,0.0015,0.2195,0.0422,0.032,0.4811,0,0.2485,0.2703,0.4404,0.1294,0.1017,0.1177,0.077,0.1337,0.1657,0.2137,0.0581,0.3547,0.0015,0.0189,0.1192,0.0683
6,Guadalcanal,Province,Proportion,1,0.0635,0.2656,0.0505,0.0738,0.0664,0.0561,0.3783,0.0045,0.0414,0.0527,0.117,0.1523,0.0802,0.0547,0.0084,0.0057,0.0004,0.5186,0.01,0.0545,0.0438,0.0748,0.0239,0.196,0.0505,0.2484,0.308,0.0822,0.0133,0.0348,0.0012,0.8272,0.0012,0.0239,0.0132,0.0029,0.0023,0.0023,0.9569,0.0012,0.0359,0.0014,0.386,0.0073,0.4613,0.0756,0.0698,0.3714,0.0034,0.2047,0.4204,0.8064,0.0533,0.0986,0.0211,0.0124,0.0082,0.0313,0.2318,0.0506,0.4488,0.0012,0.0059,0.0106,0.2198
7,Malaita,Province,Proportion,1,0.0157,0.4537,0.0511,0.0757,0.0176,0.0038,0.3312,0.0063,0.0448,0.0669,0.1104,0.3061,0.0513,0.038,0.0137,0.0099,0.0043,0.379,0.0203,0.0375,0.0045,0.05,0.0118,0.1551,0.274,0.2599,0.2074,0.0339,0.003,0.1216,0.002,0.7867,0.0011,0.0093,0.0394,0.0031,0.0014,0.0032,0.9834,0.0005,0.0104,0.0011,0.3791,0.005,0.5141,0.0502,0.0518,0.1995,0.0046,0.2852,0.5106,0.7403,0.0347,0.1348,0.0498,0.0251,0.0153,0.0575,0.1205,0.0528,0.4535,0.0006,0.0063,0.0239,0.2849
8,Makira-Ulawa,Province,Proportion,1,0.0043,0.4994,0.0335,0.0841,0.0052,0.0026,0.3427,0.0022,0.0261,0.07,0.1057,0.347,0.006,0.0379,0.0032,0.0018,0.0003,0.406,0.0222,0.0332,0.006,0.0311,0.0438,0.0215,0.0057,0.3728,0.486,0.0369,0.0067,0.0591,0.0011,0.7995,0.0103,0.0086,0.0657,0.012,0.0042,0.0011,0.9854,0.0003,0.0066,0.0025,0.4649,0.0054,0.4358,0.0383,0.0555,0.492,0.004,0.2734,0.2306,0.7693,0.0456,0.1023,0.0413,0.0215,0.0201,0.0439,0.1404,0.064,0.4591,0.002,0.0039,0.0125,0.2742
9,Temotu,Province,Proportion,1,0.0009,0.3846,0.1041,0.2424,0.0191,0.0581,0.0779,0.0023,0.1106,0.0125,0.0302,0.3412,0.0444,0.1973,0.0748,0.0486,0.0902,0.1299,0.0309,0.023,0.0109,0.0207,0.0207,0.0093,0.0026,0.1116,0.8013,0.027,0.0019,0.1236,0.0005,0.7974,0.0051,0.0158,0.0277,0.0012,0.0014,0.0028,0.9895,0,0.0058,0.0005,0.2812,0.0037,0.6512,0.0267,0.0372,0.3851,0.0037,0.4646,0.1466,0.838,0.0258,0.0769,0.033,0.017,0.0093,0.037,0.1422,0.0386,0.5822,0.0023,0.0033,0.0279,0.1666
101,South Choiseul,Constituency,Proportion,1,0.0006,0.3475,0.1734,0.2433,0.0032,0,0.1881,0.0121,0.0318,0.0318,0.1137,0.3679,0.0362,0.1309,0.0299,0.0305,0.0006,0.2376,0.021,0.0362,0.0229,0.0896,0.0032,0.0305,0.0038,0.1665,0.6474,0.0362,0.0121,0.0959,0.0057,0.8189,0.0089,0.0006,0.0191,0.0025,0.0013,0.0095,0.9765,0.0006,0.0114,0.0006,0.3551,0.0013,0.5604,0.0584,0.0248,0.3761,0.0013,0.486,0.1366,0.4848,0.0172,0.2306,0.1347,0.0578,0.075,0.0051,0.176,0.0496,0.4701,0,0.0032,0.0921,0.2039
102,North West Choiseul,Constituency,Proportion,1,0.0005,0.211,0.3114,0.1712,0.0025,0,0.2848,0.0005,0.0182,0.0138,0.0354,0.3212,0.0679,0.0275,0.0935,0.0074,0,0.4299,0.0034,0.0512,0.0054,0.033,0.0089,0.0093,0.001,0.1097,0.7816,0.031,0.0118,0.0723,0.0034,0.8618,0.001,0.0005,0.0182,0,0.0015,0.0015,0.9798,0.0015,0.0157,0,0.3369,0.0025,0.5711,0.0556,0.0339,0.3655,0.0025,0.4004,0.2317,0.6749,0.0192,0.1864,0.061,0.0364,0.0221,0.0216,0.1982,0.0428,0.5578,0.0005,0.0039,0.0177,0.1574
103,East Choiseul,Constituency,Proportion,1,0,0.3982,0.209,0.0986,0.0036,0.0018,0.2796,0,0.009,0.01,0.0443,0.5602,0.0036,0.0208,0.019,0.0036,0,0.3367,0.0018,0.0244,0.0163,0.0299,0.0262,0.048,0.0172,0.1068,0.7312,0.067,0.0081,0.1629,0.0027,0.7493,0.0009,0,0.0081,0.0009,0.0027,0.0045,0.9584,0.0063,0.0217,0.0063,0.371,0,0.543,0.0597,0.0262,0.3756,0.0009,0.3602,0.2633,0.5946,0.0063,0.2796,0.0652,0.0398,0.0145,0.0326,0.1919,0.0371,0.5149,0.0045,0.0027,0.0226,0.1937
1041,East Honiara,Constituency,Proportion,1,0.7073,0.0579,0.0953,0.0059,0.0067,0.0661,0.0467,0.0065,0.0076,0.5647,0.2213,0.0371,0.0059,0.0596,0.0214,0.002,0,0.0672,0.0208,0.5433,0.0841,0.14,0.045,0.1285,0.0422,0.0104,0.0065,0.6687,0.0034,0.0208,0.0014,0.2936,0.0037,0.0006,0.0056,0.0022,0.0442,0.0273,0.4997,0.0264,0.3664,0.036,0.2936,0.0065,0.1223,0.5014,0.0762,0.0309,0.0084,0.0309,0.9297,0.7922,0.09,0.0273,0.0287,0.0191,0.0427,0.0079,0.784,0.0827,0.0546,0.0053,0.0155,0.0039,0.0461
1042,Central Honiara,Constituency,Proportion,1,0.7783,0.0324,0.0848,0.0264,0.0013,0,0.0607,0.006,0.0102,0.6153,0.2992,0.0226,0.0029,0.0003,0.0105,0.0025,0,0.0426,0.0041,0.4911,0.115,0.1626,0.0823,0.0794,0.0229,0.0235,0.0232,0.6302,0.0038,0.0203,0.0019,0.3301,0.0041,0,0.007,0.0025,0.0305,0.0324,0.5683,0.0079,0.3351,0.0257,0.3037,0.0038,0.0314,0.6125,0.0486,0.0403,0.0051,0.0172,0.9374,0.8399,0.0797,0.0137,0.0194,0.0149,0.0324,0.0064,0.7862,0.0883,0.0289,0.006,0.0216,0.0054,0.0572
1043,West Honiara,Constituency,Proportion,1,0.7931,0.0189,0.112,0.0132,0.0061,0,0.0281,0.0224,0.0061,0.6847,0.2486,0.0092,0.0097,0.0026,0.0132,0.0018,0,0.0277,0.0026,0.6074,0.072,0.0808,0.058,0.1238,0.0373,0.0105,0.0101,0.6227,0.0031,0.0281,0.0009,0.3303,0.0044,0.0004,0.0079,0.0022,0.0343,0.0272,0.5248,0.0053,0.4054,0.0031,0.4247,0.0158,0.029,0.4809,0.0496,0.1111,0.0053,0.0105,0.8731,0.7549,0.0588,0.0558,0.0299,0.0386,0.0619,0.0119,0.7558,0.0927,0.0474,0.007,0.0246,0.0075,0.0531
204,Shortland Islands,Constituency,Proportion,1,0.0014,0.02,0.3409,0.5934,0.0057,0,0.0342,0,0.0043,0.0086,0.0827,0.3552,0.3438,0.107,0.0556,0.0043,0,0.0414,0.0014,0.0485,0.0071,0.0043,0,0.0114,0.0043,0.2068,0.7175,0.0043,0.0185,0.1056,0,0.7447,0.0043,0.1098,0.0071,0.0057,0,0.0029,0.9087,0.0827,0.0057,0,0.5535,0.0086,0.3581,0.0385,0.0414,0.271,0.0057,0.6191,0.1041,0.699,0.0414,0.1184,0.0642,0.0399,0.0371,0.0143,0.0942,0.0442,0.6862,0,0.0043,0.0157,0.1412
205,North Vella la Vella,Constituency,Proportion,1,0.0011,0.3254,0.2014,0.2856,0.0011,0,0.1832,0,0.0023,0.0341,0.149,0.3584,0.0011,0.0046,0.025,0.0023,0,0.4232,0.0023,0.033,0,0.0683,0.0023,0.0102,0.0011,0.0296,0.8555,0.0444,0.0068,0.0353,0.0011,0.909,0.0011,0,0.0023,0,0,0.0023,0.9829,0,0.0148,0,0.289,0.0011,0.6826,0.0228,0.0046,0.4141,0,0.4915,0.0944,0.6917,0.0068,0.1775,0.0694,0.0284,0.0262,0.0102,0.19,0.0432,0.6018,0,0.0011,0.0273,0.1263
206,South Vella la Vella,Constituency,Proportion,1,0,0.4329,0.2645,0.1875,0.0008,0.0023,0.0953,0.0076,0.0091,0.0823,0.0633,0.5297,0.003,0.016,0.0229,0.0015,0.0015,0.2797,0,0.0267,0.003,0.154,0.0061,0.013,0.0008,0.1555,0.641,0.0198,0.0038,0.0549,0.0008,0.9108,0.0008,0.0015,0.0076,0,0.0008,0.0053,0.9817,0,0.0114,0.0008,0.2759,0.016,0.6738,0.0282,0.0061,0.4299,0.0122,0.4177,0.1402,0.5076,0.0137,0.3201,0.0915,0.0335,0.0335,0.0152,0.2195,0.0267,0.6311,0.0008,0,0.0587,0.048
207,Ranongga-Simbo,Constituency,Proportion,1,0,0.6074,0.0628,0.0418,0,0.0012,0.2505,0,0.0363,0.0246,0.0554,0.5385,0.0043,0.0025,0.0234,0.0055,0,0.3452,0.0006,0.0154,0.0062,0.152,0.0191,0.0357,0.0289,0.0388,0.704,0.0068,0.0031,0.0548,0.0012,0.8868,0.0012,0.0012,0.0431,0.0018,0,0.0117,0.9643,0.016,0.0074,0.0006,0.1988,0.0012,0.7748,0.0123,0.0129,0.3052,0,0.5157,0.1791,0.7231,0.0148,0.1182,0.064,0.0449,0.0351,0.0037,0.1342,0.0431,0.7391,0.0006,0.0012,0.0363,0.0418
208,Gizo-Kolombangara,Constituency,Proportion,1,0.0004,0.2174,0.3657,0.1564,0.0073,0,0.1995,0.0057,0.0475,0.1479,0.1077,0.2215,0.0557,0.0016,0.1703,0.0089,0.0004,0.2792,0.0069,0.2938,0.0236,0.1195,0.0248,0.0715,0.0223,0.2763,0.1682,0.3226,0.0171,0.0289,0,0.6087,0.0037,0.0008,0.0175,0.0008,0.015,0.0341,0.8521,0.0012,0.0955,0.002,0.4547,0.0037,0.3259,0.1853,0.0305,0.4486,0.0089,0.2735,0.269,0.7765,0.0089,0.1,0.0496,0.0317,0.0333,0.0073,0.4779,0.0565,0.308,0,0.0057,0.0167,0.128
209,West New Georgia-Vonavona,Constituency,Proportion,1,0.0129,0.0113,0.6301,0.2816,0.0004,0.0008,0.0012,0.0113,0.0504,0.1495,0.1273,0.1007,0.2526,0.052,0.2015,0.0113,0.0004,0.081,0.0238,0.1894,0.0411,0.1737,0.0443,0.0185,0.0024,0.4186,0.112,0.22,0.0121,0.0298,0.0004,0.726,0.0008,0.0004,0.0097,0.0008,0.0032,0.0064,0.9339,0.0056,0.0479,0.0028,0.4239,0.0028,0.4363,0.1144,0.0226,0.4251,0.0052,0.3783,0.1914,0.6027,0.0205,0.1853,0.0927,0.0528,0.0459,0.004,0.4251,0.0536,0.363,0.002,0.0093,0.0314,0.1116
210,North New Georgia,Constituency,Proportion,1,0,0.5612,0.1223,0.055,0,0,0.2339,0,0.0275,0.0627,0.0199,0.5428,0,0.0015,0.0183,0.0046,0.0015,0.3471,0.0015,0.0994,0.0046,0.0657,0.0076,0.0015,0,0.6009,0.2202,0.0168,0.0076,0.0153,0,0.9557,0.0015,0,0,0.0031,0,0,0.9985,0,0.0015,0,0.1422,0.0031,0.8089,0.0245,0.0214,0.2355,0.0015,0.6927,0.0703,0.893,0.0076,0.0841,0.0092,0.0046,0.0015,0.0382,0.1101,0.0138,0.7844,0,0,0.0138,0.0398
211,South New Georgia-Rendova,Constituency,Proportion,1,0,0.2465,0.3862,0.1323,0.0094,0,0.1921,0.0128,0.0208,0.0201,0.0544,0.2915,0.045,0.0181,0.0994,0.0148,0,0.4271,0.0296,0.0282,0.0054,0.1142,0.0121,0.0813,0.0054,0.5688,0.1847,0.1007,0.0107,0.0463,0.0007,0.8106,0,0.0013,0.0296,0,0.0054,0,0.9812,0,0.0121,0.0013,0.2458,0.0047,0.6931,0.0296,0.0269,0.2827,0.0047,0.5588,0.1538,0.6897,0.0201,0.1645,0.0611,0.0383,0.0262,0.0121,0.186,0.0316,0.6152,0,0.0034,0.0343,0.1175
212,Marovo,Constituency,Proportion,1,0.0009,0.4627,0.2835,0.0593,0.0032,0.0046,0.1468,0.0056,0.0333,0.0255,0.0287,0.5859,0.0083,0.0028,0.1186,0.0042,0.0032,0.2094,0.0134,0.0509,0.0088,0.107,0.0107,0.0134,0.0019,0.0472,0.7601,0.0394,0.0107,0.3052,0.0019,0.6188,0,0.0009,0.0185,0.0046,0.0028,0.0051,0.975,0.0037,0.0111,0.0023,0.3404,0.0083,0.566,0.0408,0.0445,0.327,0.0019,0.5382,0.1329,0.6925,0.0333,0.1334,0.056,0.0421,0.0426,0.0306,0.1913,0.0537,0.6443,0.0005,0,0.0278,0.0519
313,Hograno-Kia-Havulei,Constituency,Proportion,1,0,0.4632,0.2043,0.2143,0.01,0.0079,0.0935,0.0016,0.0053,0.0184,0.1481,0.4202,0.0131,0.0068,0.0215,0.0079,0.0005,0.3608,0.0026,0.0105,0.0058,0.0341,0.0672,0.3466,0.0042,0.5189,0.0126,0.0772,0.0252,0.1555,0.0042,0.7295,0,0.0005,0.0079,0,0.0016,0.0147,0.9107,0.0478,0.0247,0.0005,0.3929,0.0005,0.5194,0.0525,0.0347,0.3755,0.0016,0.4974,0.1255,0.6387,0.0147,0.219,0.0756,0.0336,0.0184,0.0205,0.2101,0.0599,0.4974,0.0021,0.0026,0.0137,0.1938
314,Marigne-Kokota,Constituency,Proportion,1,0.001,0.7553,0.0464,0.0699,0,0,0.0949,0.0005,0.0318,0.1466,0.2332,0.4465,0,0,0.0078,0.0016,0,0.156,0.0083,0.0543,0.0037,0.1148,0.0224,0.2217,0.0616,0.5128,0.0089,0.0762,0.0052,0.1607,0.0031,0.734,0.0068,0.001,0.012,0.001,0.001,0.0052,0.9583,0.0167,0.0188,0,0.2655,0.0052,0.6594,0.0402,0.0297,0.2686,0.0026,0.4356,0.2932,0.7376,0.0198,0.1941,0.0261,0.0172,0.0052,0.0151,0.1987,0.0668,0.5649,0,0.0057,0.0151,0.1335
315,Gao-Bugotu,Constituency,Proportion,1,0.0159,0.7443,0.0363,0.0242,0.0182,0.0053,0.1437,0.0038,0.0083,0.0537,0.0983,0.6021,0.0098,0.0129,0.0106,0.0023,0,0.2057,0.0045,0.0136,0.003,0.0658,0.0726,0.0855,0.0136,0.7292,0.0166,0.0038,0.003,0.2012,0.0045,0.7784,0.0023,0,0.0068,0,0,0.0015,0.975,0.0068,0.0159,0.0008,0.2148,0.0015,0.7254,0.0204,0.0378,0.1868,0.0008,0.6823,0.1301,0.643,0.0234,0.2027,0.0847,0.0371,0.0091,0.0182,0.0953,0.0514,0.6581,0,0.0015,0.09,0.0855
430,Nggela,Constituency,Proportion,1,0.0078,0.4697,0.0778,0.1318,0.0157,0.0039,0.2618,0.0003,0.0311,0.0817,0.1979,0.2769,0.0947,0.1324,0.0081,0.0054,0,0.1897,0.013,0.0573,0.0103,0.0193,0.0009,0.0021,0.0009,0.2739,0.6353,0.057,0.006,0.0332,0.0021,0.9005,0,0,0.0009,0.0003,0.0036,0.0021,0.9683,0,0.0259,0,0.197,0.0012,0.7698,0.0184,0.0136,0.2094,0.0006,0.5535,0.2365,0.8238,0.0196,0.1011,0.0302,0.0075,0.0178,0.0148,0.1683,0.0986,0.5665,0,0.0012,0.0226,0.1279
431,Savo-Russull Islands,Constituency,Proportion,1,0,0.2377,0.4101,0.2673,0.0044,0.0006,0.0195,0.0491,0.0113,0.0113,0.0748,0.178,0.1132,0.5585,0.0314,0.0082,0.0006,0.0189,0.005,0.0642,0.0013,0.0264,0.027,0.0006,0.0145,0.2679,0.5981,0,0.0082,0.0491,0,0.9377,0,0,0.0044,0.0006,0,0,0.9937,0,0.0063,0,0.3346,0.005,0.6333,0.0157,0.0113,0.3761,0.0044,0.3981,0.2214,0.8742,0.0421,0.0453,0.017,0.0145,0.0069,0.0107,0.0673,0.0289,0.4025,0.0006,0.0006,0.0082,0.4811
532,Rennell-Bellona,Constituency,Proportion,1,0,0,0.7951,0.1337,0.0073,0.0145,0.0015,0.0262,0.0218,0,0,0,0.0102,0.0407,0.6657,0.0276,0,0.2238,0.032,0.0247,0.0044,0.2238,0.0058,0.577,0.1453,0.0189,0,0.0044,0.0015,0.7485,0,0.2108,0,0,0.0174,0.0174,0,0.0058,0.968,0,0.0262,0,0.7049,0.0015,0.2195,0.0422,0.032,0.4811,0,0.2485,0.2703,0.4404,0.1294,0.1017,0.1177,0.077,0.1337,0.1657,0.2137,0.0581,0.3547,0.0015,0.0189,0.1192,0.0683
633,North West Guadalcanl,Constituency,Proportion,1,0.2524,0.3328,0.0485,0.0231,0.0436,0.0029,0.2561,0.0003,0.0405,0.1238,0.1657,0.2042,0.0873,0.0508,0.0083,0.0037,0,0.3464,0.01,0.1007,0.057,0.1306,0.0482,0.2307,0.0704,0.1774,0.1851,0.1126,0.0148,0.0371,0.0017,0.8275,0.0003,0,0.0057,0.0003,0.0054,0.0043,0.9048,0.002,0.0827,0.0009,0.3855,0.0117,0.4098,0.1255,0.0676,0.225,0.0043,0.1346,0.6362,0.8734,0.0351,0.0522,0.0163,0.0131,0.01,0.0211,0.4277,0.0579,0.3536,0.0006,0.0094,0.0108,0.1189
634,West Guadalcanal,Constituency,Proportion,1,0,0.5045,0.0197,0.0084,0.0024,0.0084,0.444,0,0.0126,0.0162,0.1574,0.3106,0.0186,0.0215,0.0012,0.0012,0,0.468,0.0054,0.006,0.0018,0.0539,0.0132,0.0401,0.0281,0.4111,0.4458,0.0012,0.0036,0.0287,0.0012,0.9593,0,0.0012,0.003,0.0018,0,0.0018,0.994,0,0.0036,0.0006,0.3321,0.0066,0.5296,0.0515,0.0802,0.4488,0.0054,0.3603,0.1855,0.8528,0.0557,0.0676,0.009,0.009,0.006,0.0371,0.064,0.0497,0.6361,0.0006,0.0006,0.003,0.2089
635,South Guadalcanal,Constituency,Proportion,1,0.0209,0.4612,0,0,0,0,0.5165,0,0.0014,0.05,0.1161,0.3086,0,0,0,0,0,0.5253,0,0.002,0.0014,0.0689,0.0047,0.1587,0.0115,0.2019,0.551,0,0.002,0.0169,0,0.944,0,0.0236,0.0054,0.0081,0,0,0.9986,0,0.0007,0.0007,0.3437,0.0041,0.58,0.0203,0.052,0.3065,0.0014,0.3477,0.3444,0.7448,0.0918,0.1269,0.027,0.0074,0.002,0.0439,0.0533,0.0351,0.74,0.0014,0.0027,0.0243,0.0993
636,East Guadalcanal,Constituency,Proportion,1,0.0072,0.4147,0.0338,0.0333,0.0019,0,0.5014,0.0014,0.0063,0.0328,0.1779,0.2878,0.0328,0.0039,0.0053,0.0024,0.0024,0.4441,0.0106,0.0068,0.0024,0.0714,0.0096,0.0641,0.0183,0.3105,0.5169,0.0029,0.0034,0.0559,0.0005,0.7189,0.0029,0.1688,0.0386,0.0082,0.0005,0,0.9932,0.0024,0.0029,0.001,0.5723,0.0068,0.3549,0.0222,0.0439,0.3872,0.0077,0.3149,0.2903,0.715,0.0294,0.2035,0.0342,0.014,0.0039,0.0752,0.0641,0.0497,0.5434,0.0005,0.001,0.0193,0.2469
637,East-Central,Constituency,Proportion,1,0.0005,0.0443,0.0448,0.1548,0.0692,0.0713,0.6064,0,0.0087,0.0005,0.0015,0.029,0.0504,0.0621,0.0025,0.001,0,0.8529,0,0.0005,0.001,0.0158,0.0025,0.197,0.0591,0.2551,0.4689,0,0.0025,0.0193,0.0015,0.9338,0.0031,0.0071,0.029,0.0036,0.0015,0,0.9964,0,0,0.002,0.3299,0.0041,0.5479,0.0326,0.0855,0.3732,0.0015,0.334,0.2912,0.8457,0.0372,0.0774,0.0285,0.0066,0.0046,0.0418,0.0728,0.0692,0.5662,0.0031,0.0061,0.0148,0.2261
638,North-East,Constituency,Proportion,1,0.002,0.1602,0.0306,0.0549,0.1478,0.2086,0.2318,0.001,0.1631,0.0227,0.1448,0.0198,0.0895,0.0568,0.0025,0.001,0.001,0.6372,0.0247,0.0494,0.1201,0.0633,0.0138,0.3134,0.0573,0.3243,0.0583,0.1621,0.0109,0.0475,0.001,0.7672,0,0.001,0.0099,0.0005,0,0.0005,0.9867,0,0.0104,0.0025,0.2763,0.004,0.5106,0.0959,0.1132,0.4869,0.004,0.1379,0.3712,0.8087,0.1167,0.0381,0.0089,0.0119,0.0158,0.0203,0.2437,0.0247,0.3613,0.001,0.004,0.0089,0.3361
639,North Guadalcanal,Constituency,Proportion,1,0,0.1884,0.1049,0.286,0.249,0.0746,0.0881,0.0011,0.0079,0.0768,0.1245,0.0768,0.2754,0.1043,0.0331,0.032,0,0.2765,0.0006,0.1402,0.1531,0.0578,0.0224,0.189,0.0617,0.2013,0.1744,0.2619,0.0191,0.0236,0.0011,0.6887,0,0.0039,0.0017,0,0.0039,0.0034,0.9192,0,0.0712,0.0022,0.2417,0.0056,0.5508,0.1189,0.083,0.2984,0.0022,0.1559,0.5435,0.8609,0.0578,0.0466,0.0174,0.0101,0.0073,0.0107,0.4066,0.0409,0.3892,0.0022,0.0079,0.0028,0.1397
